법정동코드,법정동명,폐지여부
4711132034,경상북도 포항시 남구 동해면 공당리,존재
4711133000,경상북도 포항시 남구 장기면,존재
4711133021,경상북도 포항시 남구 장기면 읍내리,존재
4711133022,경상북도 포항시 남구 장기면 마현리,존재
4711133023,경상북도 포항시 남구 장기면 금곡리,존재
4711133024,경상북도 포항시 남구 장기면 영암리,존재
4711133025,경상북도 포항시 남구 장기면 신창리,존재
4711133026,경상북도 포항시 남구 장기면 양포리,존재
4711133027,경상북도 포항시 남구 장기면 계원리,존재
4711133028,경상북도 포항시 남구 장기면 두원리,존재
4711133029,경상북도 포항시 남구 장기면 수성리,존재
4711133030,경상북도 포항시 남구 장기면 임중리,존재
4711133031,경상북도 포항시 남구 장기면 방산리,존재
4711133032,경상북도 포항시 남구 장기면 산서리,존재
4711133033,경상북도 포항시 남구 장기면 서촌리,존재
4711133034,경상북도 포항시 남구 장기면 금오리,존재
4711133035,경상북도 포항시 남구 장기면 대진리,존재
4711133036,경상북도 포항시 남구 장기면 모포리,존재
4711133037,경상북도 포항시 남구 장기면 학계리,존재
4711133038,경상북도 포항시 남구 장기면 학곡리,존재
4711133039,경상북도 포항시 남구 장기면 신계리,존재
4711133040,경상북도 포항시 남구 장기면 창지리,존재
4711133041,경상북도 포항시 남구 장기면 대곡리,존재
4711133042,경상북도 포항시 남구 장기면 죽정리,존재
4711133043,경상북도 포항시 남구 장기면 정천리,존재
4711135000,경상북도 포항시 남구 호미곶면,존재
4711135021,경상북도 포항시 남구 호미곶면 강사리,존재
4711135022,경상북도 포항시 남구 호미곶면 대보리,존재
4711135023,경상북도 포항시 남구 호미곶면 구만리,존재
4711135024,경상북도 포항시 남구 호미곶면 대동배리,존재
4711300000,경상북도 포항시 북구,존재
4711310100,경상북도 포항시 북구 대흥동,존재
4711310200,경상북도 포항시 북구 신흥동,존재
4711310300,경상북도 포항시 북구 남빈동,존재
4711310400,경상북도 포항시 북구 상원동,존재
4711310500,경상북도 포항시 북구 여천동,존재
4711310600,경상북도 포항시 북구 중앙동,존재
4711310700,경상북도 포항시 북구 덕산동,존재
4711310800,경상북도 포항시 북구 덕수동,존재
4711310900,경상북도 포항시 북구 대신동,존재
4711311000,경상북도 포항시 북구 동빈1가,존재
4711311100,경상북도 포항시 북구 동빈2가,존재
4711311200,경상북도 포항시 북구 학산동,존재
4711311300,경상북도 포항시 북구 항구동,존재
4711311400,경상북도 포항시 북구 득량동,존재
4711311500,경상북도 포항시 북구 학잠동,존재
4711311600,경상북도 포항시 북구 죽도동,존재
4711311700,경상북도 포항시 북구 용흥동,존재
4711311800,경상북도 포항시 북구 우현동,존재
4711311900,경상북도 포항시 북구 창포동,존재
4711312000,경상북도 포항시 북구 두호동,존재
4711312100,경상북도 포항시 북구 장성동,존재
4711312200,경상북도 포항시 북구 양덕동,존재
4711312300,경상북도 포항시 북구 환호동,존재
4711312400,경상북도 포항시 북구 여남동,존재
4711325000,경상북도 포항시 북구 흥해읍,존재
4711325021,경상북도 포항시 북구 흥해읍 매산리,존재
4711325022,경상북도 포항시 북구 흥해읍 북송리,존재
4711325023,경상북도 포항시 북구 흥해읍 마산리,존재
4711325024,경상북도 포항시 북구 흥해읍 옥성리,존재
4711325025,경상북도 포항시 북구 흥해읍 약성리,존재
4711325026,경상북도 포항시 북구 흥해읍 학성리,존재
4711325027,경상북도 포항시 북구 흥해읍 남성리,존재
4711325028,경상북도 포항시 북구 흥해읍 성내리,존재
4711325029,경상북도 포항시 북구 흥해읍 중성리,존재
4711325030,경상북도 포항시 북구 흥해읍 망천리,존재
4711325031,경상북도 포항시 북구 흥해읍 남송리,존재
4711325032,경상북도 포항시 북구 흥해읍 곡강리,존재
